Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
叫,jiào,Verb,to be called,我叫大卫。,Wǒ jiào Dàwèi.,My name is David.,你叫什么名字？,Nǐ jiào shénme míngzi?,What is your name?
姓,xìng,Noun/Verb,"surname, one’s family name is",我姓程。,Wǒ xìng chéng.,My surname is Cheng.,他姓什么？,Tā xìng shénme?,What is his surname?
名字,míngzi,Noun,name,她的名字是玛丽。,Tā de míngzi shì Mǎlì.,Her name is Mary.,他叫什么名字？,Tā jiào shénme míngzi?,What is his name?
哪国人,nǎguórén,Phrase,a person of which country,你是哪国人？,Nǐ shì nǎ guó rén?,Which country are you from ?,他是哪国人？,Tā shì nǎ guó rén?,Which country is he from ?
你,nǐ,Pronoun,you,你姓程 吗？,Nǐ xìng chéng ma?,Is your surname Cheng?,你叫大卫吗？,Nǐ jiào Dàwèi ma?,Is your name David?
我,wǒ,Pronoun,"I, me",我不姓程。,Wǒ bú xìng Chéng.,My surname is not Cheng.,我不叫大卫。,Wǒ bú jiào Dàwèi.,My name is not David.
认识你很高兴,rènshì nǐ hěn gāoxìng,Phrase,It's nice to meet you,"我叫大卫, 认识你很高兴。","Wǒ jiào dàwèi, rènshì nǐ hěn gāoxìng.",My name is David. It is nice to meet you.,"第一次见到你, 认识你很高兴。","Dì yī cì jiàn dào nǐ, rènshì nǐ hěn gāoxìng.",It is first time to see you. It is nice to meet you.
是,shì,Verb,is,"我不是美国人, 我是日本人。","Wǒ bú shì Měiguó rén,wǒ shì Rìběn rén","I'm not American, I'm Japanese.",他是中国人吗？,Tā shì Zhōngguó rén ma?,Is he Chinese?
美国,Měiguó,Noun,United States,他是美国人吗？,Tā shì Měiguó rén ma?,Is he an American?,A: 你是哪国人？B: 我是美国人。,A: Nǐ shì nǎ guó rén?  B: Wǒ shì Měiguó rén.,A: What country are you from? B: I am American.
中国,Zhōngguó,Noun,China,我不是中国人。,Wǒ bú shì Zhōngguó rén.,I'm not Chinese.,你是中国人吗？,Nǐ shì Zhōngguó rén ma?,Are you Chinese?
忙,máng,Adj,busy,你忙吗？,Nǐ máng ma?,Are you busy?,我很忙。,Wǒ hěn máng.,I am so busy.
累,lèi,Adj,"tired , tiring",我很累。,Wǒ hěn lèi.,I am tired.,我不累。,Wǒ bú lèi.,I am not tired.
好,hǎo,Adj,good,你好吗？,Nǐ hǎo ma?,How are you?,我很好。,Wǒ hěn hǎo.,I am pretty good.
你们,nǐmen,Pronoun,"you (plural), y'all",你们都是学生吗？,Nǐmen dōu shì xuéshēng ma?,Are you all students?,你们是美国人吗？,Nǐmen shì Měiguó rén ma?,Are you all Americans?
学生,xuéshēng,Noun,"student, students",我不是学生。,Wǒ bú shì xuéshēng.,I am not a student.,他是学生。,Tā shì xuéshēng.,He is a student.
