Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
特别,tèbié,Adj,special,你是哪国人？你的名字真特别！,Nǐ shì nǎ guórén? Nǐ de míngzì zhēn tèbié!,Where are you from? Your name is so special!,他喜欢看特别的电影。,Tā xǐhuan kàn tèbié de diànyǐng.,He likes to watch special movies.
演唱会,yǎnchànghuì,Noun,concert,"你今天晚上要跟我们一起去演唱会
吗？",Nǐ jīntiān wǎnshàng yào gēn wǒmen yīqǐ qù yǎnchànghuì ma?,Do you want to go to the concert with us tonight?,我们坐公共汽车去演唱会。,Wǒmen zuò gōnggòng qìchē qù yǎnchànghuì.,We take a bus to the concert.
大家,dàjiā,Noun,everyone,"虽然美美不漂亮，但是大家都很喜欢
她。","Suīrán měiměi bú piàoliang, dànshì dàjiā dōu hěn xǐhuan tā.","Although Meimei isn't beautiful, everyone likes her a lot.",大家都觉得这首歌很好听。,Dàjiā dōu juéde zhè shǒu gē hěn hǎotīng.,Everyone thinks this song is good to listen.
开心,kāixīn,Adj,"to feel happy, to rejoice, to have a great time",可以跟你一起逛街，真开心！,"Kěyǐ gēn nǐ yìqǐ guàngjiē, zhēn kāixīn!",It is happy to go shopping with you.,"今天是他的生日，但是为什么他看起来
不太开心？","Jīntiān shì tā de shēngrì, dànshì wèishénme tā kàn qǐlái bú tài kāixīn?","Today is his birthday, so why does he seem unhappy?"
跳舞,tiàowǔ,Verb Object,to dance,我们一起唱歌跳舞吧！,Wǒmen yìqǐ chànggē tiàowǔ ba!,Let’s sing and dance together!,昨天我跟他去酒吧跳舞，真好玩儿！,"Zuótiān wǒ gēn tā qù jiǔbā tiàowǔ, zhēn hǎowán'er!","I danced in the bar with him yesterday, it was fun!"
有名,yǒumíng,Adj,famous,这附近有一间有名的饭馆。,Zhè fùjìn yǒu yì jiān yǒumíng de fànguǎn.,There is a famous restaurant nearby.,"这位歌手唱歌唱得很好听，但是他不有
名。","Zhè wèi gēshǒu chànggē chàng de hěn hǎotīng, dànshì tā bù yǒumíng.","This singer sings well, but he is not famous."
歌手,gēshǒu,Noun,singer,这位歌手很有名。,Zhè wèi gēshǒu hěn yǒumíng.,This singer is very famous.,他的爸爸是一位歌手。,Tā de bàba shì yí wèi gēshǒu.,His father is a singer.
元,yuán,Measure word,currency unit (esp. Chinese yuan),"搭地铁比搭出租车便宜，车票只要五十
元钱。","Dā dìtiě bǐ dā chūzūchē piányi, chēpiào zhǐyào wǔshí yuán qián.",Taking a subway is cheaper than taxi. It only costs you fifty dollars.,一共是伍佰元钱。,Yígòng shì wǔ bǎi yuán qián.,The total is five hundred dollars.
好像,hǎoxiàng,Adv,"as if, to seem like",好像快下雨了，我们回家吧。,"Hǎoxiàng kuài xià yǔ le, wǒmen huí jiā ba.","It seems will rain soon, let’s go home.",这个演唱会好像很好玩。,Zhègè yǎnchànghuì hǎoxiàng hěn hǎowán.,This concert seems really fun.
干杯,gānbēi,Verb Object,"bottoms up , Cheers.",新年快乐，干杯！,"Xīnnián kuàilè, gānbēi!","Happy New Year, cheers!",我们来干杯吧！,Wǒmen lái gānbēi ba!,Let’s cheers!
待,dāi,Verb,to stay,我有时候会待在图书馆里看书。,Wǒ yǒu shíhou huì dāi zài túshūguǎn lǐ kànshū.,Sometimes I will stay in the library and read books.,你要待在房间里面多久？,Nǐ yào dāi zài fángjiān lǐmiàn duōjiǔ?,How long are you going to stay in the room?
放松,fàngsōng,Verb,to relax,我工作一天了，现在我只想睡觉放松。,"Wǒ gōngzuò yītiānle, xiànzài wǒ zhǐ xiǎng shuìjiào fàngsōng.","I have worked for a whole day long, now I only want to sleep and relax.",这周末我们去逛街放松，好吗？,"Zhè zhōumò wǒmen qù guàngjiē fàngsōng, hǎo ma?","Let’s go shopping and relax this weekend, shall we?"
毕业,bìyè,Verb,to graduate,我毕业以后，打算回国。,"Wǒ bìyè yǐhòu, dǎsuàn huíguó.",I plan to go back to my country after graduating.,我明年六月毕业。,Wǒ míngnián liù yuè bìyè.,I will graduate next June.
交往,jiāowǎng,Verb,"to associate (with), to date, (interpersonal) relationship",我听说他们交往了！,Wǒ tīngshuō tāmen jiāowǎng le.,I have heard that they are dating!,大家都想跟美美交往。,Dàjiā dōu xiǎng gēn měiměi jiāowǎng.,Everyone wants to make friends with Meimei.
曾经,céngjīng,Adv,"once, previously, ever, (past tense marker used before Verb or clause)",虽然她曾经很喜欢李强，但是现在她跟一成在交往。,"Suīrán tā céngjīng hěn xǐhuan LǐQiáng, dànshì xiànzài tā gēn Yīchéng zài jiāowǎng.","She once liked Liqiang very much, but now she is dating Yicheng.",他曾经是一位老师。,Tā céngjīng shì yí wèi lǎoshī.,He used to be a teacher.
马上,mǎshàng,Adv,"at once, right away, immediately",我到了车站，就马上打电话给你！,"Wǒ dào le chēzhàn, jiù mǎshàng dǎdiànhuà gěi nǐ!",I will call you right after I arrive at the station!,我得马上回家！,Wǒ děi mǎshàng huí jiā!,I need to go home right now!
房间,fángjiān,Noun,room,从我的房间可以看见外面漂亮的风景。,Cóng wǒ de fángjiān kěyǐ kànjiàn wàimiàn piàoliang de fēngjǐng.,You can see a very beautiful view out of my room.,我家有四个房间。,Wǒjiā yǒu sì gè fángjiān.,There are four rooms in my house.
阴天,yīn tiān,Noun,cloudy,今天是阴天。,Jīntiān shì yīn tiān.,Today is cloudy.,明天不会下雨，是阴天。,"Míngtiān bú huì xià yǔ, shì yīn tiān.","It won’t rain tomorrow, it will be a cloudy day."
厨房,chúfáng,Noun,kitchen,妹妹在厨房里做菜。,Mèimei zài chúfáng lǐ zuò cài.,My younger sister is cooking in the kitchen.,我家很小，没有厨房。,"Wǒ jiā hěn xiǎo, méiyǒu chúfáng.","My house is small, there is no kitchen."
蛋糕,dàngāo,Noun,cake,这是我买给你的生日蛋糕！,Zhè shì wǒ mǎi gěi nǐ de shēngrì dàngāo!,This is the birthday cake I bought you!,"这个店的蛋糕很有名, 很好吃！","Zhègè diàn de dàngāo hěn yǒumíng, hěn hǎo chī!",The cake of this store is very famous and delicious!
饿,è,Adj,to be hungry,他吃了好几个蛋糕了，他可能很饿。,"Tā chī le hǎo jǐ gè dàngāo le, tā kěnéng hěn è.","He has eaten several pieces of cake, he might be really hungry.",我不怎么饿。,Wǒ bù zěnme è.,I am not so hungry.
牛奶,niúnǎi,Noun,milk,我要去超市买牛奶。,Wǒ yào qù chāoshì mǎi niúnǎi.,I want to go to the supermarket to buy milk.,他不喝牛奶。,Tā bù hē niúnǎi.,He doesn’t drink milk.
出去,chūqù,Verb,to go out,待在家真无聊，我要出去逛街。,"Dāi zàijiā zhēn wúliáo, wǒ yào chūqù guàngjiē.","It is boring to stay at home, I want to go shopping.",外面天气好冷，大家都不想出去。,"Wàimiàn tiānqì hǎo lěng, dàjiā dōu bù xiǎng chūqù.","It is so cold outside, no one wants to go out."
游戏,yóuxì,Noun,game,你常玩手机游戏吗？,Nǐ cháng wán shǒujī yóuxì ma?,Do you often play mobile games?,听说你很喜欢玩游戏？,Tīngshuō nǐ hěn xǐhuan wán yóuxì?,I heard that you like to play games so much?
安静,ānjìng,Adj,"quiet, peaceful, calm",因为我家附近车不太多，所以很安静。,"Yīnwèi wǒ jiā fùjìn chē bú tài duō, suǒyǐ hěn ānjìng.","Because there are not many cars near my place, it’s quiet.",昨天晚上很安静，我很早就去睡觉了。,"Zuótiān wǎnshàng hěn ānjìng, wǒ hěn zǎo jiù qù shuìjiào le.",It was very quiet last night and I went to bed early.
公园,gōngyuán,Noun,park,"你跟家人吃完晚饭后会去公园走走
吗？",Nǐ gēn jiārén chī wán wǎnfàn hòu huì qù gōngyuán zǒu zǒu ma?,Do you go to the park after dinner with your family?,你喜欢去公园做什么？,Nǐ xǐhuan qù gōngyuán zuò shénme?,What do you like to do in the park?
发现,fāxiàn,Verb,to discover,我发现我新家附近有医院、博物馆跟电影院，太方便了。,"Wǒ fāxiàn wǒ xīn jiā fùjìn yǒu yīyuàn, bówùguǎn gēn diànyǐngyuàn, tài fāngbiàn le.","I found that there is a museum, a hospital and a movie theater near my new home, it’s very convenient.",我发现一个新的手机游戏。,Wǒ fāxiàn yīgè xīn de shǒujī yóuxì.,I found a new mobile phone game.
过马路,guò mǎlù,Verb Object,to cross the street,过马路的时候不要玩手机。,Guò mǎlù de shíhou búyào wán shǒujī.,Do not play the phone while crossing the road.,一边玩手机一边过马路很危险。,Yìbiān wán shǒujī yìbiān guò mǎlù hěn wēixiǎn.,It’s very dangerous that play the phone and cross the street at the same time.
专心,zhuānxīn,Adj,concentrated,开车不专心会很危险。,Kāichē bù zhuānxīn huì hěn wēixiǎn.,It’s very dangerous if you do not concentrate on driving.,"专心做事,不要一边上网，一边做事。","Zhuānxīn zuòshì, búyào yìbiān shàngwǎng, yìbiān zuòshì.","Be concentrate, do not do things and go on the internet at the same time."
危险,wēixiǎn,Noun/Adj,"danger, dangerous",过马路的时候玩手机、听音乐都很危险。,"Guò mǎlù de shíhou wán shǒujī, tīng yīnyuè dōu hěn wēixiǎn.",Playing mobile phones or listening to music while crossing the road are very dangerous.,一边玩手机一边过马路很危险。,Yìbiān wán shǒujī yìbiān guò mǎlù hěn wēixiǎn.,It’s very dangerous that play the phone and cross the street at the same time.
